# KID ID,type,f_KID_design[GHz],F_filter_design [GHz],KID Qc,l_al[mm],l_wide[mm],l_thz[um],l_coupler[um]
0,wideband_bf,5.900000,nan,20000,1.220,2.695,35.800,39.991
1,wideband_bf,5.910000,nan,20000,1.218,2.690,35.800,39.919
2,wideband_af,5.930000,nan,20000,1.214,2.681,35.800,39.777
3,wideband_af,5.940000,nan,20000,1.212,2.676,35.800,39.707
100,filter,4.151500,439.191909,20000,1.734,3.801,67.403,57.540
101,filter,4.156000,427.077045,20000,1.732,3.793,69.344,57.475
102,filter,4.160500,415.296363,20000,1.731,3.786,71.342,57.411
103,filter,4.165000,403.840644,20000,1.729,3.778,73.401,57.347
104,filter,4.169500,392.700926,20000,1.727,3.770,75.520,57.284
105,filter,4.174000,381.868490,20000,1.725,3.762,77.702,57.220
106,filter,4.178500,371.334860,20000,1.723,3.754,79.949,57.157
107,filter,4.183000,361.091795,20000,1.721,3.746,82.262,57.093
108,filter,4.187500,351.131280,20000,1.719,3.737,84.645,57.030
109,filter,4.192000,341.445519,20000,1.718,3.729,87.098,56.967
110,filter,4.196500,332.026935,20000,1.716,3.720,89.623,56.904
111,filter,4.201000,322.868157,20000,1.714,3.712,92.224,56.841
112,filter,4.205500,313.962019,20000,1.712,3.703,94.902,56.779
113,filter,4.210000,305.301552,20000,1.710,3.694,97.660,56.716
114,filter,4.214500,296.879979,20000,1.708,3.685,100.500,56.654
115,filter,4.219000,288.690710,20000,1.707,3.676,103.423,56.592
116,filter,4.223500,280.727338,20000,1.705,3.666,106.434,56.530
117,filter,4.228000,272.983631,20000,1.703,3.657,109.534,56.468
118,filter,4.232500,265.453530,20000,1.701,3.647,112.726,56.406
119,filter,4.237000,258.131142,20000,1.699,3.637,116.013,56.344
120,filter,4.241500,251.010739,20000,1.698,3.627,119.398,56.283
121,filter,4.246000,244.086748,20000,1.696,3.617,122.883,56.221
122,filter,4.250500,237.353751,20000,1.694,3.607,126.472,56.160
123,filter,4.255000,230.806480,20000,1.692,3.597,130.167,56.099
124,filter,4.259500,224.439812,20000,1.690,3.586,133.972,56.038
125,filter,4.264000,437.440398,20000,1.689,3.697,67.676,55.977
126,filter,4.268500,425.373848,20000,1.687,3.690,69.626,55.916
127,filter,4.273000,413.640148,20000,1.685,3.682,71.633,55.856
128,filter,4.277500,402.230115,20000,1.683,3.675,73.699,55.795
129,filter,4.282000,391.134822,20000,1.681,3.667,75.828,55.735
130,filter,4.286500,380.345586,20000,1.680,3.659,78.019,55.674
131,filter,4.291000,369.853965,20000,1.678,3.651,80.275,55.614
132,filter,4.295500,359.651750,20000,1.676,3.643,82.598,55.554
133,filter,4.300000,349.730957,20000,1.674,3.635,84.991,55.495
134,filter,4.304500,340.083823,20000,1.673,3.627,87.454,55.435
135,filter,4.309000,330.702801,20000,1.671,3.618,89.990,55.375
136,filter,4.313500,321.580549,20000,1.669,3.610,92.602,55.316
137,filter,4.318000,312.709929,20000,1.667,3.601,95.291,55.257
138,filter,4.322500,304.084000,20000,1.666,3.593,98.061,55.197
139,filter,4.327000,295.696012,20000,1.664,3.584,100.912,55.138
140,filter,4.331500,287.539403,20000,1.662,3.575,103.848,55.079
141,filter,4.336000,279.607789,20000,1.661,3.566,106.871,55.021
142,filter,4.340500,271.894964,20000,1.659,3.556,109.984,54.962
143,filter,4.345000,264.394893,20000,1.657,3.547,113.190,54.903
144,filter,4.349500,257.101707,20000,1.655,3.537,116.491,54.845
145,filter,4.354000,250.009700,20000,1.654,3.527,119.889,54.787
146,filter,4.358500,243.113322,20000,1.652,3.518,123.389,54.728
147,filter,4.363000,236.407176,20000,1.650,3.507,126.993,54.670
148,filter,4.367500,229.886016,20000,1.649,3.497,130.704,54.612
149,filter,4.372000,223.544739,20000,1.647,3.487,134.525,54.554
150,filter,4.376500,435.695871,20000,1.645,3.599,67.951,54.497
151,filter,4.381000,423.677444,20000,1.643,3.591,69.909,54.439
152,filter,4.385500,411.990538,20000,1.642,3.584,71.924,54.382
153,filter,4.390000,400.626009,20000,1.640,3.577,74.000,54.324
154,filter,4.394500,389.574964,20000,1.638,3.569,76.137,54.267
155,filter,4.399000,378.828756,20000,1.637,3.562,78.337,54.210
156,filter,4.403500,368.378976,20000,1.635,3.554,80.603,54.153
157,filter,4.408000,358.217447,20000,1.633,3.546,82.936,54.096
